,Admin Institution,State,Total,Year
1244,University of Melbourne,VIC,2285520.0,2020
1245,University of Melbourne,VIC,1900000.0,2020
1246,University of Sydney,NSW,1800000.0,2020
1247,University of Melbourne,VIC,2590576.0,2020
1248,University of Melbourne,VIC,950000.0,2020
1249,University of New South Wales,NSW,2305159.88,2020
1250,University of South Australia,SA,1337350.0,2020
1251,Australian National University,ACT,1562250.0,2020
1252,University of Melbourne,VIC,1855260.0,2020
1253,University of Queensland,QLD,2714215.0,2020
1254,University of Sydney,NSW,1287350.0,2020
1255,University of Sydney,NSW,1000105.48,2020
1256,Monash University,VIC,1562250.0,2020
1257,University of Melbourne,VIC,2491397.92,2020
1258,University of Sydney,NSW,2114215.0,2020
1259,University of Melbourne,VIC,1814215.0,2020
1260,University of Melbourne,VIC,645205.0,2020
1261,Queensland University of Technology,QLD,1541565.07,2020
1262,University of New South Wales,NSW,645205.0,2020
1263,University of New South Wales,NSW,645205.0,2020
1264,QIMR Berghofer Medical Research Institute,QLD,645205.0,2020
1265,University of Sydney,NSW,645205.0,2020
1266,University of Sydney,NSW,645205.0,2020
1267,University of New South Wales,NSW,645205.0,2020
1268,University of Queensland,QLD,3414215.0,2020
1269,Monash University,VIC,2981372.0,2020
1270,Walter and Eliza Hall Institute of Medical Research,VIC,645205.0,2020
1271,Victoria University,VIC,1449800.0,2020
1272,University of Sydney,NSW,2339215.0,2020
1273,University of Western Australia,WA,645205.0,2020
1274,Monash University,VIC,2500000.0,2020
1275,Burnet Institute,VIC,1562250.0,2020
1276,University of Melbourne,VIC,2231372.0,2020
1277,University of New South Wales,NSW,900000.0,2020
1278,Monash University,VIC,645205.0,2020
1279,University of Sydney,NSW,2514215.0,2020
1280,Macquarie University,NSW,645205.0,2020
1281,Burnet Institute,VIC,2114215.0,2020
1282,University of Melbourne,VIC,2210520.0,2020
1283,Baker Heart and Diabetes Institute,VIC,2163220.0,2020
1284,Walter and Eliza Hall Institute of Medical Research,VIC,2538220.0,2020
1285,University of Queensland,QLD,2508156.0,2020
1286,Walter and Eliza Hall Institute of Medical Research,VIC,1940576.0,2020
1287,University of New South Wales,NSW,1337350.0,2020
1288,Walter and Eliza Hall Institute of Medical Research,VIC,645205.0,2020
1289,University of Sydney,NSW,645205.0,2020
1290,University of Melbourne,VIC,1449800.0,2020
1291,University of Queensland,QLD,1788220.0,2020
1292,University of Sydney,NSW,1851429.69,2020
1293,University of Melbourne,VIC,645205.0,2020
1294,QIMR Berghofer Medical Research Institute,QLD,2714215.0,2020
1295,University of South Australia,SA,2738220.0,2020
1296,University of Melbourne,VIC,2088220.0,2020
1297,University of Melbourne,VIC,3138220.0,2020
1298,Monash University,VIC,2914215.0,2020
1299,University of Queensland,QLD,2511960.4,2020
1300,Murdoch Childrens Research Institute,VIC,645205.0,2020
1301,University of Sydney,NSW,2060520.0,2020
1302,Walter and Eliza Hall Institute of Medical Research,VIC,3231372.0,2020
1303,Walter and Eliza Hall Institute of Medical Research,VIC,3314215.0,2020
1304,Deakin University,VIC,1783164.7,2020
1305,University of Adelaide,SA,279725.46,2020
1306,University of Queensland,QLD,1231125.0,2020
1307,Baker Heart and Diabetes Institute,VIC,606009.33,2020
1308,Centre for Eye Research Australia,VIC,2156372.0,2020
1309,Menzies School of Health Research,NT,1050000.0,2020
1310,Monash University,VIC,1719110.0,2020
1311,Cancer Council NSW,NSW,2125000.0,2020
1312,Murdoch Childrens Research Institute,VIC,368561.5,2020
1313,Menzies School of Health Research,NT,2567932.0,2020
1314,Menzies School of Health Research,NT,566164.0,2020
1315,University of Sydney,NSW,1074900.0,2020
1316,Menzies School of Health Research,NT,358751.75,2020
1317,University of Melbourne,VIC,645205.0,2020
1318,University of Sydney,NSW,2510793.24,2020
1319,University of Sydney,NSW,1562250.0,2020
1320,University of Melbourne,VIC,606009.33,2020
1321,University of Melbourne,VIC,645205.0,2020
1322,Cancer Council NSW,NSW,645205.0,2020
1323,Monash University,VIC,1412250.0,2020
1324,Macquarie University,NSW,1512250.0,2020
1325,Monash University,VIC,2889164.1,2020
1326,University of Melbourne,VIC,1562250.0,2020
1327,Monash University,VIC,645205.0,2020
1328,QIMR Berghofer Medical Research Institute,QLD,2731372.0,2020
1329,University of Sydney,NSW,645205.0,2020
1330,University of Queensland,QLD,2339215.0,2020
1331,University of New South Wales,NSW,1000000.0,2020
1332,Deakin University,VIC,2238220.0,2020
1333,University of Sydney,NSW,2039950.5,2020
1334,Walter and Eliza Hall Institute of Medical Research,VIC,3164215.0,2020
1335,University of Sydney,NSW,1562250.0,2020
1336,University of Melbourne,VIC,2188416.0,2020
1337,University of Melbourne,VIC,1562250.0,2020
1338,University of Melbourne,VIC,645205.0,2020
1339,University of Melbourne,VIC,645205.0,2020
1340,Monash University,VIC,645205.0,2020
1341,Walter and Eliza Hall Institute of Medical Research,VIC,2163220.0,2020
1342,University of New South Wales,NSW,568292.78,2020
1343,University of Sydney,NSW,2560520.0,2020
1344,University of Melbourne,VIC,1491192.44,2020
1345,Monash University,VIC,2238220.0,2020
1346,University of Melbourne,VIC,2360520.0,2020
1347,University of New South Wales,NSW,2339215.0,2020
1348,University of Sydney,NSW,1338220.0,2020
1349,Deakin University,VIC,566164.0,2020
1350,Monash University,VIC,645205.0,2020
1351,University of Melbourne,VIC,487123.0,2020
1352,Deakin University,VIC,606009.33,2020
1353,University of Sydney,NSW,1155134.51,2020
1354,University of Adelaide,SA,1449800.0,2020
1355,University of Queensland,QLD,1431623.15,2020
1356,Monash University,VIC,2238220.0,2020
1357,University of South Australia,SA,1544073.15,2020
1358,University of Sydney,NSW,2173544.91,2020
1359,Monash University,VIC,447602.5,2020
1360,QIMR Berghofer Medical Research Institute,QLD,2231372.0,2020
1361,St Vincents Institute of Medical Research,VIC,1312250.0,2020
1362,University of Queensland,QLD,2088220.0,2020
1363,University of New South Wales,NSW,2060520.0,2020
1364,University of Adelaide,SA,645205.0,2020
1365,University of Melbourne,VIC,645205.0,2020
1366,University of New South Wales,NSW,2814215.0,2020
1367,University of Western Sydney,NSW,1562250.0,2020
1368,University of Melbourne,VIC,1534522.6,2020
1369,Curtin University,WA,645205.0,2020
1370,University of New South Wales,NSW,1512250.0,2020
1371,University of Technology Sydney,NSW,645205.0,2020
1372,University of New South Wales,NSW,1814215.0,2020
1373,University of Sydney,NSW,2914215.0,2020
1374,University of Sydney,NSW,3738220.0,2020
1375,Burnet Institute,VIC,645205.0,2020
1376,University of Sydney,NSW,645205.0,2020
1377,Murdoch Childrens Research Institute,VIC,3515004.76,2020
1378,University of Melbourne,VIC,1281125.0,2020
1379,QIMR Berghofer Medical Research Institute,QLD,1913403.2,2020
1380,University of Queensland,QLD,408082.0,2020
1381,University of Melbourne,VIC,645205.0,2020
1382,University of Sydney,NSW,1500000.0,2020
1383,University of Melbourne,VIC,2163220.0,2020
1384,University of Sydney,NSW,645205.0,2020
1385,University of Melbourne,VIC,2027364.0,2020
1386,Monash University,VIC,645205.0,2020
1387,University of Adelaide,SA,1705260.0,2020
1388,University of New South Wales,NSW,3289215.0,2020
1389,University of Queensland,QLD,645205.0,2020
1390,University of Western Australia,WA,2060520.0,2020
1391,University of Melbourne,VIC,645205.0,2020
1392,Monash University,VIC,1425000.0,2020
1393,University of Sydney,NSW,1930260.0,2020
1394,Walter and Eliza Hall Institute of Medical Research,VIC,645205.0,2020
1395,University of Melbourne,VIC,2013220.0,2020
1396,Flinders University,SA,2090576.0,2020
1397,University of Western Sydney,NSW,606009.33,2020
1398,University of New South Wales,NSW,553664.0,2020
1399,Australian Catholic University,NSW,1350000.0,2020
1400,Monash University,VIC,595205.0,2020
1401,Monash University,VIC,1462250.0,2020
1402,University of Sydney,NSW,645205.0,2020
1403,Murdoch University,WA,645205.0,2020
1404,University of Sydney,NSW,1731372.0,2020
1405,University of Melbourne,VIC,1714215.0,2020
1406,University of Newcastle,NSW,1123450.0,2020
1407,University of Sydney,NSW,501205.1,2020
1408,Griffith University,QLD,2000000.0,2020
1409,Curtin University,WA,645205.0,2020
1410,University of New South Wales,NSW,447602.5,2020
1411,Griffith University,QLD,1512250.0,2020
1412,University of Melbourne,VIC,1425280.14,2020
1413,University of Western Australia,WA,1562250.0,2020
1414,University of Sydney,NSW,645205.0,2020
1415,University of Melbourne,VIC,3000000.0,2020
1416,University of New South Wales,NSW,3764215.0,2020
1417,University of Sydney,NSW,645205.0,2020
1418,University of Melbourne,VIC,2258892.29,2020
1419,University of Melbourne,VIC,1544066.26,2020
1420,University of Sydney,NSW,645205.0,2020
1421,George Institute for Global Health,NSW,645205.0,2020
1422,University of Adelaide,SA,2360520.0,2020
1423,University of Melbourne,VIC,1562250.0,2020
1424,University of Queensland,QLD,645205.0,2020
1425,University of Queensland,QLD,2760520.0,2020
1426,University of Melbourne,VIC,620205.0,2020
1427,Monash University,VIC,2195288.0,2020
1428,University of Sydney,NSW,645205.0,2020
1429,University of Melbourne,VIC,645205.0,2020
1430,Walter and Eliza Hall Institute of Medical Research,VIC,1562250.0,2020
1431,Deakin University,VIC,632428.51,2020
1432,Monash University,VIC,1512250.0,2020
1433,Australian National University,ACT,2331372.0,2020
1434,Murdoch Childrens Research Institute,VIC,2331372.0,2020
1435,Monash University,VIC,2613220.0,2020
1436,Monash University,VIC,645205.0,2020
1437,University of Newcastle,NSW,2738220.0,2020
1438,Baker Heart and Diabetes Institute,VIC,645205.0,2020
1439,University of Wollongong,NSW,1050000.0,2020
1440,University of New South Wales,NSW,600715.44,2020
1441,Murdoch Childrens Research Institute,VIC,2410857.16,2020
1442,University of Melbourne,VIC,462643.5,2020
1443,University of Newcastle,NSW,2090576.0,2020
1444,University of Melbourne,VIC,645205.0,2020
1445,University of South Australia,SA,2194658.35,2020
1446,Baker Heart and Diabetes Institute,VIC,645205.0,2020
1447,University of Melbourne,VIC,2914215.0,2020
1448,University of Melbourne,VIC,1850924.92,2020
1449,University of New South Wales,NSW,645205.0,2020
1450,University of Melbourne,VIC,570205.0,2020
1451,Murdoch University,WA,632705.0,2020
1452,University of Sydney,NSW,3292932.0,2020
1453,University of Queensland,QLD,645205.0,2020
1454,University of Sydney,NSW,566164.0,2020
1455,University of Sydney,NSW,645205.0,2020
1456,Monash University,VIC,2182124.11,2020
1457,ANZAC Research Institute,NSW,3164215.0,2020
1458,University of Queensland,QLD,2414215.0,2020
1459,Monash University,VIC,645205.0,2020
1460,Monash University,VIC,2163244.69,2020
1461,University of Sydney,NSW,2414215.0,2020
1462,Deakin University,VIC,1562250.0,2020
1463,University of Melbourne,VIC,1938013.7,2020
1464,University of Sydney,NSW,1500000.0,2020
1465,University of Queensland,QLD,645205.0,2020
1466,University of New South Wales,NSW,1714215.0,2020
1467,University of Queensland,QLD,447602.5,2020
1468,Burnet Institute,VIC,2000000.0,2020
1469,University of Queensland,QLD,2088220.0,2020
1470,University of Queensland,QLD,645205.0,2020
1471,University of Sydney,NSW,1500000.0,2020
1472,University of Melbourne,VIC,1957107.5,2020
1473,Monash University,VIC,2700000.0,2020
1474,Monash University,VIC,1562250.0,2020
1475,Flinders University,SA,2163220.0,2020
1476,University of Melbourne,VIC,645205.0,2020
1477,University of Adelaide,SA,3560520.0,2020
