,CIA_title,Year,level,type_cat,fwci_awarded,pubs_awarded
144,Dr,2015,1,1,0.33,1.0
145,Dr,2015,1,1,3.9675,13.0
146,Dr,2015,1,1,1.255,8.0
147,Dr,2015,1,1,0.9950000000000001,8.0
148,Ms,2015,0,1,3.775714285714286,16.0
149,Dr,2015,1,1,2.782222222222222,31.0
150,Mr,2015,0,1,,
151,Dr,2015,1,1,1.268333333333333,20.0
152,Mr,2015,0,1,9.133333333333333,12.0
153,Dr,2015,1,1,,
154,Dr,2015,1,1,,0.0
155,Dr,2015,1,1,4.366666666666666,11.0
156,Mr,2015,0,1,1.155,8.0
157,Dr,2015,1,1,1.26,12.0
158,Dr,2015,1,1,1.1625,27.0
159,Dr,2015,1,1,0.244,19.0
160,Ms,2015,0,1,1.05,11.0
161,Dr,2015,1,1,2.054444444444445,62.0
162,Mrs,2015,0,1,1.838,13.0
163,Dr,2015,1,1,1.538,17.0
164,Dr,2015,1,1,0.8033333333333335,32.0
165,A/Pr,2015,2,1,0.13,3.0
166,A/Pr,2015,2,3,2.385,111.0
167,A/Pr,2015,2,3,1.967272727272728,33.0
168,Prof,2015,3,3,2.28,96.0
169,Prof,2015,3,3,,
170,A/Pr,2015,2,3,2.59090909090909,111.0
171,A/Pr,2015,2,3,2.007777777777778,46.0
172,Prof,2015,3,3,1.065,49.0
173,Prof,2015,3,3,1.828181818181818,177.0
174,Prof,2015,3,3,1.737272727272728,86.0
175,A/Pr,2015,2,3,1.508181818181818,57.0
176,A/Pr,2015,2,3,1.99,70.0
177,Prof,2015,3,3,,
178,A/Pr,2015,2,3,0.0,1.0
179,A/Pr,2015,2,3,2.789090909090909,71.0
180,A/Pr,2015,2,3,1.584545454545454,78.0
181,A/Pr,2015,2,3,1.535555555555556,20.0
182,A/Pr,2015,2,3,5.02,1.0
183,Dr,2015,1,3,1.9375,17.0
184,A/Pr,2015,2,3,3.863636363636364,123.0
185,A/Pr,2015,2,3,3.388181818181818,174.0
186,A/Pr,2015,2,3,0.537,35.0
187,A/Pr,2015,2,3,0.6781818181818181,57.0
188,A/Pr,2015,2,3,0.8639999999999999,152.0
189,Prof,2015,3,3,1.706363636363637,61.0
190,Prof,2015,3,3,1.533636363636363,69.0
191,Prof,2015,3,3,1.53,93.0
192,Prof,2015,3,3,2.047272727272727,162.0
193,A/Pr,2015,2,3,0.535,6.0
194,Prof,2015,3,3,1.782727272727273,208.0
195,Prof,2015,3,3,1.82,4.0
196,A/Pr,2015,2,3,1.49,70.0
197,A/Pr,2015,2,3,6.80090909090909,36.0
198,Prof,2015,3,3,2.491818181818182,170.0
199,A/Pr,2015,2,3,2.370000000000001,89.0
200,Prof,2015,3,3,6.180000000000001,239.0
201,Prof,2015,3,3,1.290909090909091,126.0
202,Prof,2015,3,3,2.70090909090909,67.0
203,Prof,2015,3,3,1.433333333333333,18.0
204,Prof,2015,3,3,1.678181818181818,250.0
205,Prof,2015,3,3,2.715454545454545,172.0
206,Prof,2015,3,3,2.491818181818182,283.0
207,Prof,2015,3,3,,
208,Prof,2015,3,3,1.627272727272727,96.0
209,Prof,2015,3,3,1.296363636363636,114.0
210,Prof,2015,3,3,1.766,48.0
211,A/Pr,2015,2,3,3.241818181818182,100.0
212,Prof,2015,3,3,42.51,89.0
213,Prof,2015,3,3,1.876363636363636,58.0
214,Prof,2015,3,3,2.320909090909091,178.0
215,Prof,2015,3,3,16.48909090909091,157.0
216,Prof,2015,3,3,3.846363636363637,90.0
217,Prof,2015,3,3,2.441818181818182,331.0
218,Prof,2015,3,3,0.9454545454545454,30.0
219,Prof,2015,3,3,1.83,230.0
220,Prof,2015,3,3,1.216363636363636,62.0
221,Prof,2015,3,3,1.918181818181818,174.0
222,Prof,2015,3,3,1.644545454545455,103.0
223,Prof,2015,3,3,,
224,Prof,2015,3,3,1.144545454545455,74.0
225,Prof,2015,3,3,2.744545454545455,178.0
226,Prof,2015,3,3,2.675454545454546,96.0
227,Prof,2015,3,3,2.861818181818181,225.0
228,Prof,2015,3,3,,
229,Prof,2015,3,3,1.7475,26.0
230,Prof,2015,3,3,1.359090909090909,95.0
231,Prof,2015,3,3,1.26,296.0
232,Prof,2015,3,3,3.169090909090909,291.0
233,Prof,2015,3,3,1.621818181818182,94.0
234,Prof,2015,3,3,1.693636363636364,237.0
235,Prof,2015,3,3,1.499090909090909,139.0
236,Dr,2016,1,1,7.51,17.0
237,Dr,2016,1,1,0.6375,13.0
238,Dr,2016,1,1,2.542,22.0
239,Dr,2016,1,1,2.671111111111111,27.0
240,Dr,2016,1,1,,
241,Dr,2016,1,1,,
242,Dr,2016,1,1,,
243,Dr,2016,1,1,0.9063636363636366,26.0
244,Dr,2016,1,1,0.8300000000000001,14.0
245,Dr,2016,1,1,1.018888888888889,23.0
246,Dr,2016,1,1,,
247,Miss,2016,0,1,,
248,Mr,2016,0,1,1.288,13.0
249,Dr,2016,1,1,,
250,Dr,2016,1,1,1.158,14.0
251,Dr,2016,1,1,1.0425,16.0
252,Dr,2016,1,1,2.246,11.0
253,Dr,2016,1,1,1.774545454545454,27.0
254,Dr,2016,1,1,2.76,20.0
255,Dr,2016,1,1,2.018333333333333,24.0
256,Dr,2016,1,1,40.85888888888889,35.0
257,Dr,2016,1,1,2.597777777777778,42.0
258,Dr,2016,1,1,0.6514285714285715,20.0
259,Dr,2016,1,1,1.12,9.0
260,Dr,2016,1,1,1.522727272727273,20.0
261,Dr,2016,1,1,107.1966666666667,42.0
262,Mr,2016,0,1,2.685,26.0
263,Dr,2016,1,1,1.717272727272727,68.0
264,Dr,2016,1,1,2.854285714285715,15.0
265,Dr,2016,1,1,2.6975,15.0
266,Dr,2016,1,1,0.9409090909090909,44.0
267,Dr,2016,1,1,2.185,10.0
268,Dr,2016,1,1,1.475,80.0
269,Dr,2016,1,1,1.155,20.0
270,Dr,2016,1,1,,
271,Mr,2016,0,1,0.8555555555555555,27.0
272,Dr,2016,1,1,21.62428571428572,21.0
273,Dr,2016,1,1,0.6766666666666667,9.0
274,Dr,2016,1,1,2.018,9.0
275,Dr,2016,1,1,1.95,16.0
276,Dr,2016,1,1,1.708333333333333,15.0
277,Dr,2016,1,1,,
278,Dr,2016,1,1,2.638,75.0
279,Dr,2016,1,1,,
280,Dr,2016,1,1,1.4825,4.0
281,Dr,2016,1,1,0.8266666666666667,18.0
282,Dr,2016,1,1,1.576666666666667,70.0
283,Dr,2016,1,1,0.6716666666666667,38.0
284,Dr,2016,1,1,0.7060000000000001,7.0
285,Dr,2016,1,1,2.614285714285714,19.0
286,Dr,2016,1,1,1.097142857142857,17.0
287,Dr,2016,1,1,1.666666666666667,12.0
288,Dr,2016,1,1,0.0,1.0
289,Dr,2016,1,1,1.68,6.0
290,Dr,2016,1,1,,
291,Dr,2016,1,1,0.35,2.0
292,A/Pr,2016,2,1,2.103,72.0
293,Dr,2016,1,1,2.72375,18.0
294,Dr,2016,1,1,2.19,33.0
295,Dr,2016,1,1,1.1575,16.0
296,Dr,2016,1,1,,
297,Dr,2016,1,1,1.070909090909091,78.0
298,Dr,2016,1,1,0.798888888888889,27.0
299,Dr,2016,1,1,1.208,11.0
300,Dr,2016,1,1,,
301,Dr,2016,1,1,1.402,9.0
302,Dr,2016,1,1,1.625,14.0
303,Dr,2016,1,1,,
304,Dr,2016,1,1,2.827777777777778,12.0
305,Dr,2016,1,1,1.701666666666666,19.0
306,A/Pr,2016,2,1,0.13,3.0
307,Mr,2016,0,1,0.9675,15.0
308,Dr,2016,1,1,,
309,Dr,2016,1,1,1.538571428571428,40.0
310,Dr,2016,1,1,1.948,19.0
311,Dr,2016,1,1,0.8185714285714286,38.0
312,Dr,2016,1,1,2.4325,12.0
313,Dr,2016,1,1,1.5575,32.0
314,Dr,2016,1,1,0.8800000000000001,11.0
315,Dr,2016,1,1,1.9325,6.0
316,Dr,2016,1,1,0.2666666666666667,3.0
317,Dr,2016,1,1,1.803636363636364,31.0
318,Dr,2016,1,1,0.4933333333333332,9.0
319,Dr,2016,1,1,2.966666666666667,18.0
320,Ms,2016,0,1,2.057142857142857,21.0
321,Dr,2016,1,1,0.9883333333333333,14.0
322,Dr,2016,1,1,1.8625,8.0
323,Dr,2016,1,1,1.601111111111111,118.0
324,Ms,2016,0,1,1.923333333333334,13.0
325,Dr,2016,1,1,1.08875,40.0
326,Dr,2016,1,1,,
327,Dr,2016,1,1,0.978,8.0
328,Dr,2016,1,1,1.018,10.0
329,Dr,2016,1,1,,
330,Dr,2016,1,1,1.705,13.0
331,Mr,2016,0,1,0.8516666666666667,7.0
332,Dr,2016,1,1,0.9866666666666667,5.0
333,Dr,2016,1,1,2.04,21.0
334,Dr,2016,1,1,3.742500000000001,6.0
335,Dr,2016,1,1,,
336,Dr,2016,1,1,7.45,7.0
337,Dr,2016,1,1,0.7633333333333333,20.0
338,Mr,2016,0,1,1.32,35.0
339,Dr,2016,1,1,4.137499999999999,8.0
340,Dr,2016,1,1,0.705,11.0
341,Dr,2016,1,1,0.4983333333333333,19.0
342,Ms,2016,0,1,1.74,11.0
343,Dr,2016,1,1,1.2125,27.0
